メニュー名,"価格(税別,円)",主材料,主な調味料,調理方法,テイスティングコメント,ペアリングドリンク,原価(円),原価率(%),アレルゲン,備考,カテゴリー,在庫,カテゴリー_EN,メニュー名_EN,テイスティングコメント_EN,ペアリングドリンク_EN,主材料_EN,主な調味料_EN,調理方法_EN,アレルゲン_EN
カプレーゼ,1200,"フルーツトマト(120g), モッツァレラ(80g), バジル(3g)","EXVオリーブオイル(8ml), 塩(1g), 黒胡椒(0.3g)",トマトとモッツァレラをスライスして交互に盛り、バジルをのせてオイル・塩胡椒。,瑞々しい酸味とミルキーさ。前菜として軽やかに始められる。,ナチュラル白ワイン（オレンジ寄り）,320,33,乳,,チーズ料理,あり,Cheese,Caprese (Tomato & Mozzarella),"A light, fresh pairing of tomato and mozzarella with a subtle Japanese herb touch.","Fresh, aromatic sake / crisp white wine","フルーツトマト(120g), モッツァレラ(80g), バジル(3g)","EXVオリーブオイル(8ml), 塩(1g), 黒胡椒(0.3g)",トマトとモッツァレラをスライスして交互に盛り、バジルをのせてオイル・塩胡椒。,Milk
カマンベールときのこアヒージョの花鰹掛け,1400,"カマンベール(1/2個), きのこミックス(120g), にんにく(3g)","オリーブオイル(80ml), 塩(1g), 唐辛子(少々), 花鰹(適量)",小鍋でにんにく香り出し→きのこ→カマンベール。仕上げに花鰹。,とろけるチーズときのこの旨味、花鰹の香りが重なる。,山廃/生酛系の旨口純米,460,36,乳,,チーズ料理,あり,Cheese,"Camembert & Mushroom Ajillo, Katsuobushi Finish","Rich camembert and mushrooms in ajillo, finished with aromatic katsuobushi.",Aged Junmai / orange wine,"カマンベール(1/2個), きのこミックス(120g), にんにく(3g)","オリーブオイル(80ml), 塩(1g), 唐辛子(少々), 花鰹(適量)",小鍋でにんにく香り出し→きのこ→カマンベール。仕上げに花鰹。,Milk
チーズ（単品）,680,日替わりチーズ(40g),"はちみつ(3g), 黒胡椒(少々)",カットして提供。はちみつ・胡椒はお好みで。,ミルクのコクをシンプルに楽しむ一皿。,スパークリング/辛口白,260,38,乳,,チーズ料理,あり,Cheese,Cheese (Single),A rotating selection of cheeses to match your sake or wine.,Natural wine / umami-forward sake,日替わりチーズ(40g),"はちみつ(3g), 黒胡椒(少々)",カットして提供。はちみつ・胡椒はお好みで。,Milk
チーズ（盛り合わせ）,1680,日替わりチーズ3種(各30g),"ドライフルーツ(適量), ナッツ(適量), はちみつ(適量)",盛り合わせて提供。,タイプ違いのチーズを食べ比べ。お酒の相手に万能。,ナチュラルワイン/熟成純米,720,43,"乳, くるみ",,チーズ料理,あり,Cheese,Cheese Platter,A platter of assorted cheeses for pairing.,Natural wine / umami-forward sake,日替わりチーズ3種(各30g),"ドライフルーツ(適量), ナッツ(適量), はちみつ(適量)",盛り合わせて提供。,"Milk, Walnut"
和風ドフィノア（ポテトチーズオーブン焼）,1180,"じゃがいも(250g), チーズ(80g), 生クリーム(80ml)","味噌(8g), 醤油(3ml), にんにく(2g), 黒胡椒(少々)",薄切りじゃがいもにソースを絡め耐熱皿へ→チーズ→オーブンで焼成。,濃厚なのに後味は和。味噌のコクがポイント。,旨口の純米/樽熟成ワイン,420,36,"乳, 大豆, 小麦",,チーズ料理,あり,Cheese,Japanese-style Dauphinoise (Baked Potato & Cheese),Creamy baked potato & cheese with a gentle Japanese dashi nuance.,Warm sake (kanzake) / oak-aged wine,"じゃがいも(250g), チーズ(80g), 生クリーム(80ml)","味噌(8g), 醤油(3ml), にんにく(2g), 黒胡椒(少々)",薄切りじゃがいもにソースを絡め耐熱皿へ→チーズ→オーブンで焼成。,"Milk, Soy, Wheat"
季節のフルーツの白和え,900,"季節のフルーツ(120g), 木綿豆腐(80g)","白味噌(8g), すりごま(6g), 砂糖(3g), 塩(少々)",豆腐を水切りして調味→フルーツと和える。,果実の甘酸っぱさに白味噌のまろやかさ。食中の箸休めに。,甘酸バランスの生酒/ロゼ,240,27,"大豆, ごま",,フルーツ料理,あり,Fruit,Seasonal Fruit Shira-ae (Tofu Dressing),Seasonal fruit in a silky tofu dressing (shira-ae).,"Light, fragrant sake / off-dry white wine","季節のフルーツ(120g), 木綿豆腐(80g)","白味噌(8g), すりごま(6g), 砂糖(3g), 塩(少々)",豆腐を水切りして調味→フルーツと和える。,"Soy, Sesame"
生ハムとフルーツ（季節のフルーツ）,980,"生ハム(40g), 季節のフルーツ(120g)","黒胡椒(少々), オリーブオイル(5ml), レモン(少々)",フルーツをカットして生ハムを添え、オイル・胡椒で仕上げ。,塩気×甘みでお酒が進む定番。,泡/やや辛口の白,380,39,豚肉,,フルーツ料理,あり,Fruit,Prosciutto & Seasonal Fruit,Salty prosciutto meets seasonal fruit sweetness.,Sparkling / high-acid white wine,"生ハム(40g), 季節のフルーツ(120g)","黒胡椒(少々), オリーブオイル(5ml), レモン(少々)",フルーツをカットして生ハムを添え、オイル・胡椒で仕上げ。,Pork
バーニャカウダと蒸し野菜（塩・バーニャソース・味噌ソース）,1480,季節野菜(300g),"塩(適量), バーニャカウダソース(80ml), 味噌ソース(40ml)",野菜を蒸して盛り、3種の味で提供。,野菜の甘みを発酵の旨味で引き立てる。,辛口白/軽快な純米,520,35,"乳, 大豆, いわし",,味噌発酵料理,あり,Miso & Fermentation,Steamed Vegetables & Bagna Càuda (Salt / Bagna / Miso),"Enjoy steamed vegetables with three options: salt, bagna càuda, and miso sauce.",Full-bodied Junmai / white wine,季節野菜(300g),"塩(適量), バーニャカウダソース(80ml), 味噌ソース(40ml)",野菜を蒸して盛り、3種の味で提供。,"Milk, Soy, Sardine"
藁焼き（蝦夷鹿・自家製味噌）,1680,蝦夷鹿(120g),"自家製味噌(15g), 醤油(3ml), みりん(3ml), しょうが(2g)",表面を藁で香り付けしてレアに火入れ。味噌ダレで提供。,藁の香ばしさと赤身の旨味。味噌で余韻を伸ばす。,熟成純米/軽めの赤,720,43,"大豆, 小麦",,味噌発酵料理,あり,Miso & Fermentation,Straw-seared Ezo Venison with House Miso,"Straw-seared Ezo venison with smoky aroma, brought together with house-made miso.","Dry, structured Junmai / red wine",蝦夷鹿(120g),"自家製味噌(15g), 醤油(3ml), みりん(3ml), しょうが(2g)",表面を藁で香り付けしてレアに火入れ。味噌ダレで提供。,"Soy, Wheat"
枝豆,600,枝豆(200g),塩(6g),塩茹でして提供。,最初の一杯にちょうど良い。,淡麗辛口の純米,120,25,,,居酒屋料理,あり,Izakaya Classics,Edamame,Classic starter. Simply salted to go with sake.,"Clean, crisp sake",枝豆(200g),塩(6g),塩茹でして提供。,
胡麻豆腐パフェ（きんかん・漬け鯛・いくら）,980,"胡麻豆腐(120g), 鯛(30g), いくら(15g), きんかん(20g)","白だし(10ml), 醤油(3ml), みりん(3ml)",グラスに層状に盛り付け、だしジュレでまとめる。,濃厚ごまのコクに海の旨味が重なる“おつまみパフェ”。,吟醸香控えめの純米吟醸,360,37,"ごま, 卵, いくら, 大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Sesame Tofu “Parfait” (Kumquat / Marinated Sea Bream / Salmon Roe),"A savory “parfait” of layers: sesame tofu, kumquat, marinated sea bream, and salmon roe.",Elegant Junmai Daiginjo / fragrant styles,"胡麻豆腐(120g), 鯛(30g), いくら(15g), きんかん(20g)","白だし(10ml), 醤油(3ml), みりん(3ml)",グラスに層状に盛り付け、だしジュレでまとめる。,"Sesame, Egg, Salmon roe, Soy, Wheat"
黒糖そら豆,700,そら豆(120g),"黒糖(10g), 醤油(3ml), みりん(3ml), 塩(少々)",そら豆を火入れし、黒糖ダレで軽く絡める。,ほっくり甘じょっぱく、後を引く。,コクのある純米/ハイボール,200,36,"大豆, 小麦",,居酒屋料理,あり,Izakaya Classics,Brown Sugar Broad Beans,Broad beans glazed with brown sugar for a gentle sweetness and depth.,Aged sake / rosé,そら豆(120g),"黒糖(10g), 醤油(3ml), みりん(3ml), 塩(少々)",そら豆を火入れし、黒糖ダレで軽く絡める。,"Soy, Wheat"
昆布〆のオリーブ,750,"オリーブ(60g), 昆布(1枚)","オリーブオイル(5ml), 柚子皮(少々)",オリーブを昆布で挟み冷蔵で半日〜。,旨味がのったオリーブ。日本酒にも合う。,辛口純米/オレンジワイン,260,42,,,居酒屋料理,あり,Izakaya Classics,Kombu-cured Olives,Olives cured with kombu to add umami and a Japanese twist.,dryjunmai/orange wine,"オリーブ(60g), 昆布(1枚)","オリーブオイル(5ml), 柚子皮(少々)",オリーブを昆布で挟み冷蔵で半日〜。,
